#separator:semicolon
#html:true
#columns:Question;Answer;Category;CardID
Zeshan Shakar fikk stor suksess med debutboken 'Tante Ulrikkes vei'. Hva heter den andre boken hans, som kom i 2020?;Gul bok;Bøker;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
Dyret på bilde Q17 kan få hjernetenner på opptil 60 cm. Hva heter dyret?;Vortesvin;Dyr;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
I komedien 'The Proposal' tvinger Margaret assistenten sin Andrew til ekteskap for å kunne bli i USA. Hvem spiller rollen som Andrew?;Ryan Reynolds (f. 1976);Film;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
Hvilken flyplass skal man reise til hvis det står SVG på bagasjemerket som festes på kofferten?;Stavanger lufthavn (Sola);Geografi;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
Hvilket ord brukte Winston Churchill om grensen mellom Øst- og Vest-Europa etter 2. verdenskrig?;Jernteppet;Historie;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
Hvilket dansk sportstøyfirma er kjent for sine karakteristiske piler ned langs ermer og bukseben?;Hummel;Hverdag;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
Hva er hovedingrediensen i den sveitsiske retten rösti?;Potet;Mat og drikke;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
Hvilket ord mangler i tittelen på Amy Winehouses siste album, 'Back to ... '?;Black (Back to Black);Musikk;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
Hva er den kjemiske forkortelsen for den mye omtalte drivhusgassen karbondioksid?;CO₂;Natur og miljø;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
Hvor mange knokler er det i menneskekroppen?;206;Naturvitenskap;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
Hvilken farge forbindes med elektronikkjeden Power?;Oransje;Samfunn;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
Hvilket redskap trenger man hvis man vil leke double-dutch?;Hoppetau;Spill og lek;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
Fra hvilket land kommer Eliud Kipchoge, som i 2019 ble den første som gjennomførte et maratonløp under to timer?;Kenya;Sport;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
Hva betyr den norske forkortelsen 'fvt.'?;Før vår tidsregning;Språk;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
Særimne er navnet på et dyr i norrøn mytologi som våknet til live hver kveld selv om den ble slaktet og spist hver dag. Hvilket dyr er Særimne?;En gris;Tradisjon og tro;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
Hva heter den danske julekalenderserien hvor gutten Malte blir venn med nissen Lyde?;Pakten;TV og serier;4edc0cae-c7ec-45ba-9a01-84c90b0a9837
En klassisk barnebokserie handler om en liten grend som består av tre gårder: Nordgården, Mellomgården og Sørgården. Hva heter grenda?;Bakkebygrenda;Bøker;f671fbba-7869-4bc7-854f-59bd27df3bd7
I hvilken verdensdel kan man svømme med pirajaer - hvis man tør?;Sør-Amerika;Dyr;f671fbba-7869-4bc7-854f-59bd27df3bd7
Hvilken film fra 2012 handler om jentekoret The Barden Bellas, med bl.a. rebellen Beca og den rappkjeftede Patricia?;Pitch Perfect;Film;f671fbba-7869-4bc7-854f-59bd27df3bd7
Hva heter fjellet på bilde H1, som ligger på øya Honshu?;Fujiyama (Fuji);Geografi;f671fbba-7869-4bc7-854f-59bd27df3bd7
Hvilken kongelige orden, som ble stiftet i 1847, tildeles som belønning for utmerkede fortjenester for fedrelandet og menneskeheten?;St. Olavs Orden;Historie;f671fbba-7869-4bc7-854f-59bd27df3bd7
Hva står forkortelsen VØL for, som er et skjema som brukes i leseopplæring i grunnskolen?;Vet, Ønsker å vite, Har lært.;Hverdag;f671fbba-7869-4bc7-854f-59bd27df3bd7
Hva kalles den typen sushi der man legger et stykke rå fisk på en klump med ris?;Nigiri;Mat og drikke;f671fbba-7869-4bc7-854f-59bd27df3bd7
Hvilken amerikansk artist står bak klassikere som 'When Doves Cry', 'Alphabet St.' og 'Raspberry Beret'?;Prince (1958-2016);Musikk;f671fbba-7869-4bc7-854f-59bd27df3bd7
Hva heter det giftige, hvite bæret som smeller når det blir trukket på?;Snøbær;Natur og miljø;f671fbba-7869-4bc7-854f-59bd27df3bd7
Hva heter grunnstoff nr. 27, som er oppkalt etter tyske fjellroll og har det kjemiske symbolet Co?;Kobolt;Naturvitenskap;f671fbba-7869-4bc7-854f-59bd27df3bd7
Hva heter Finlands eldste selskap, som bl.a. er kjent for å produsere sakser og hageredskaper?;Fiskars;Samfunn;f671fbba-7869-4bc7-854f-59bd27df3bd7
Hva heter det lille, snakkende kosedyret som er en blanding av en hamster og en ugle, og som kom på markedet i 1998?;Furby;Spill og lek;f671fbba-7869-4bc7-854f-59bd27df3bd7
Hvilken fotballspiller har spilt både for Manchester United, Real Madrid og Los Angeles Galaxy?;David Beckham (f. 1975);Sport;f671fbba-7869-4bc7-854f-59bd27df3bd7
Hvordan sier en russer 'takk'?;Spasiba (spasibo);Språk;f671fbba-7869-4bc7-854f-59bd27df3bd7
På palmesøndag feires Jesus som kom ridende inn i en by på et esel. Hvilken by?;Jerusalem;Tradisjon og tro;f671fbba-7869-4bc7-854f-59bd27df3bd7
Hvilket NRK-program om vitenskap og teknologi er oppkalt etter et tankeeksperiment av den østerrikske fysikeren Erwin Schrödinger?;Schrödingers katt;TV og serier;f671fbba-7869-4bc7-854f-59bd27df3bd7
