#separator:semicolon
#html:true
#columns:Question;Answer;Category;CardID;SourceFolder
Hva heter hovedpersonen i bokserien til Edgar Rice Burroughs som har blitt filmatisert en rekke ganger?;Tarzan;Bøker;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
Hva heter ungene til en hval?;Kalver;Dyr;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
Hvilken morromann spiller hele 11 roller i komedien 'Norske byggeklosser' fra 2018?;Atle Antonsen (f. 1969);Film;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
Hva heter hovedstaden i Oman, som ligger i Midtøsten?;Muskat;Geografi;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
Hva het den tyske presten som kan ses på bilde A7?;Martin Luther (1483-1546);Historie;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
På hvilket tall er bokstavene T, U og V plassert på en gammeldags mobiltelefon?;8-tallet;Hverdag;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
Hvilken ungarsk gryterett består av oksekjøtt, gulrøtter, løk og masse paprika?;Gulasj;Mat_og_drikke;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
Hvem synger på Mark Ronsons 'Uptown Funk' som var en stor hit i 2014?;Bruno Mars (f. 1985);Musikk;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
Hvilket ord brukes om høyeste flo ved ny- og fullmåne?;Springflo;Natur_og_miljø;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
Hvilket navn hadde de amerikanske romfergene som fra 1969-72 ble sendt ut i verdensrommet og opp til månen?;Apollo;Naturvitenskap;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
Hvilken farge har sløyfen som brukes i den årlige aksjonen for å vise solidaritet med kreftrammede og spre informasjon om brystkreft?;Rosa;Samfunn;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
Hvilket kortspill spilles av fire spillere og ofte i en kontrakt-utgave?;Bridge;Spill_og_lek;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
Hvor lang er løpebanen på en internasjonal friidrettsstadion?;400 m;Sport;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
Hvordan sier man 'God jul' på spansk?;Feliz navidad;Språk;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
Hvilken hovedstad ble ifølge sagnet grunnlagt av tvillingene Remus og Romulus?;Roma;Tradisjon_og_tro;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
I hvilken TV 2-serie spiller Linn Skåber rollen som Lena som er ekspert på å tråkke i salaten og skape pinlige situasjoner?;Best før;TV_og_serier;3369f9ce-5c0f-4487-88ad-f7539d20a8b9;007
Hvilken norsk forfatter har skrevet bøkene 'Natt på Frognerbadet' og 'Ha deg vekk'?;Sverre Henmo (f. 1968);Bøker;84c05c19-f963-488d-9caa-a80d0531d686;007
Hvilket blottdyr, som på latin heter 'Arion vulgaris', ble i 2012 oppført i gruppen 'svært høy risiko' på Norsk Svarteliste?;Brunsnegl (brunskogssnegl);Dyr;84c05c19-f963-488d-9caa-a80d0531d686;007
Fra hvilken filmserie huskes unge Marty McFly, den gærne Doc Brown og en ganske spesiell DeLorean-bil?;Tilbake til fremtiden;Film;84c05c19-f963-488d-9caa-a80d0531d686;007
I hvilket hav ligger Galápagos-øyene, som er kjent for sitt rike og eksotiske dyreliv?;Stillehavet;Geografi;84c05c19-f963-488d-9caa-a80d0531d686;007
Hvordan forkortes det moderne kunstmuseet i New York, der vi kan se Andy Warhols 'Campbell's Soup Cans' og Vincent van Goghs 'Stjernenatt'?;MoMA (Museum of Modern Art);Historie;84c05c19-f963-488d-9caa-a80d0531d686;007
Hva heter appen for enkel pengeoverføring via smarttelefon som DNB lanserte i 2015?;Vipps;Hverdag;84c05c19-f963-488d-9caa-a80d0531d686;007
Hva slags mel bruker man hvis man vil lage den tykke, italienske grøten polenta?;Maismel;Mat_og_drikke;84c05c19-f963-488d-9caa-a80d0531d686;007
Hvem skrev antikrigs-sangen 'Imagine' fra 1971?;John Lennon (1940-80);Musikk;84c05c19-f963-488d-9caa-a80d0531d686;007
Hvilken miljøvernorganisasjon er den eldste i Norge?;Naturvernforbundet (NNV);Natur_og_miljø;84c05c19-f963-488d-9caa-a80d0531d686;007
Hva er det norske navnet på barnesykdommen som legen kaller 'rubella', og som nesten er forsvunnet pga. MMR-vaksinen?;Røde hunder;Naturvitenskap;84c05c19-f963-488d-9caa-a80d0531d686;007
Mange nordmenn ønsker å få en lønnsom telefon fra Norsk Tipping. Hvilken by ringer det i så fall fra?;Hamar;Samfunn;84c05c19-f963-488d-9caa-a80d0531d686;007
Hvilken figur står på sjakkbrettets felt E8 når partiet begynner?;Kongen (den sorte);Spill_og_lek;84c05c19-f963-488d-9caa-a80d0531d686;007
