#separator:semicolon
#html:true
#columns:Question;Answer;Category;CardID;SourceFolder
I hvilket land foregår musikalen 'De elendige', som er basert på Victor Hugos berømte roman med samme navn?;Frankrike ('Les Miserables');Bøker;bcab4f41-dc71-4517-855c-d408630b02b3;005
Hva heter dyret på bilde R11?;Stinkdyr;Dyr;bcab4f41-dc71-4517-855c-d408630b02b3;005
I hvilken musikkfilm møter man high school-elevene Rizzo, Danny, Frenchy, Kenickie og Sandy?;Grease;Film;bcab4f41-dc71-4517-855c-d408630b02b3;005
I hvilken by kan man se Vestmuren, som også blir kalt Klagemuren og er et av jødedommens hellige steder?;Jerusalem;Geografi;bcab4f41-dc71-4517-855c-d408630b02b3;005
Hvilke to europeiske land var forent i et såkalt 'dobbelmonarki' fra 1867-1918?;Østerrike og Ungarn;Historie;bcab4f41-dc71-4517-855c-d408630b02b3;005
Hva heter Apples dataprogram som brukes til å kjøpe og spille av musikk og film?;iTunes;Hverdag;bcab4f41-dc71-4517-855c-d408630b02b3;005
Hva slags pizza forbindes spesielt med den amerikanske byen Chicago?;Deep pan pizza (deep dish pizza);Mat_og_drikke;bcab4f41-dc71-4517-855c-d408630b02b3;005
Hvilket navn bruker Shawn Corey Carter når han rapper og produserer musikk?;Jay-Z (f. 1969);Musikk;bcab4f41-dc71-4517-855c-d408630b02b3;005
Blomsten 'tagetes' har et norsk navn som starter med navnet på et stoff man kan sy klær av. Hva er blomstens norske navn?;Fløyelsblomst;Natur_og_miljø;bcab4f41-dc71-4517-855c-d408630b02b3;005
Hva heter den internasjonale romstasjonen som ble sendt opp i 1998?;ISS (International Space Station);Naturvitenskap;bcab4f41-dc71-4517-855c-d408630b02b3;005
Hvilken norsk dagligvarekjede forbindes med slagordet 'kjøp kjapt, trygt og billig'?;Kiwi;Samfunn;bcab4f41-dc71-4517-855c-d408630b02b3;005
Brettspillet Ticket to Ride kan foregå i f.eks. USA eller Europa. Hvilken type transportmiddel handler spillet om?;Tog;Spill_og_lek;bcab4f41-dc71-4517-855c-d408630b02b3;005
Hvilken fotballspiller spilte for Vålerenga, Rosenborg, Valencia, AS Roma, Besiktas, Lyon, Aston Villa, Stoke City og West Ham United?;John Carew (f. 1979);Sport;bcab4f41-dc71-4517-855c-d408630b02b3;005
I det spanske ordet 'España' er det et tegn over n-en som betyr at det skal uttales som nj. Hva heter dette tegnet?;Tilde;Språk;bcab4f41-dc71-4517-855c-d408630b02b3;005
Hvilken bryllupsdag kan man feire når man har vært gift i 30 år?;Perlebryllup;Tradisjon_og_tro;bcab4f41-dc71-4517-855c-d408630b02b3;005
Hvilken tv-konkurranse er vunnet av bl.a. Atle Pettersen, Helene Olafsen og Andreas Wahl?;Skal vi danse;TV_og_serier;bcab4f41-dc71-4517-855c-d408630b02b3;005
Hva heter gården som Emil fra Lønneberget bor på i Astrid Lindgrens klassiske historier?;Katthult;Bøker;e35a2362-b98a-457e-b529-78707cc4cc1d;005
Hva heter dyret på bilde M14?;Flått (Skogbjørn);Dyr;e35a2362-b98a-457e-b529-78707cc4cc1d;005
Hvem spiller rollen som Troy Bolton i 'High School Musical'-serien?;Zac Efron (f. 1987);Film;e35a2362-b98a-457e-b529-78707cc4cc1d;005
Hvis man besøker Holmenkollen i Oslo, hvilken bydel er man i da?;Vestre Aker;Geografi;e35a2362-b98a-457e-b529-78707cc4cc1d;005
Hvilket tårn ble oppført på Champ-de-Mars til Verdensutstillingen i 1889?;Eiffeltårnet;Historie;e35a2362-b98a-457e-b529-78707cc4cc1d;005
Fra hvilket land stammer kampsporten capoeira?;Brasil;Hverdag;e35a2362-b98a-457e-b529-78707cc4cc1d;005
Hvilken norsk restaurantkjede ble startet av kokken Trond og vinkelnereren Toralf i 1995?;Bølgen & Moi;Mat_og_drikke;e35a2362-b98a-457e-b529-78707cc4cc1d;005
Hvordan lyder de første ti ordene i 'Julekveldsvisa' av Alf Prøysen?;Nå har vi vaska golvet, og vi har børi ved;Musikk;e35a2362-b98a-457e-b529-78707cc4cc1d;005
Hva kalles den vulkanske steinarten som er så lett at den kan flyte på vann?;Pimpstein;Natur_og_miljø;e35a2362-b98a-457e-b529-78707cc4cc1d;005
Hvilket norsk navn har det røde merket på huden som noen spedbarn får, og som vanligvis forsvinner igjen etter en tid?;Jordbærmerke;Naturvitenskap;e35a2362-b98a-457e-b529-78707cc4cc1d;005
Hvilket norsk selskap er blitt ledet av Tormod Hermansen, Jon Fredrik Baksaas og Sigve Brekke?;Telenor;Samfunn;e35a2362-b98a-457e-b529-78707cc4cc1d;005
Hvilken pokerhånd er mer verdt enn to par, men mindre verdt enn en straight?;Tress (tre like);Spill_og_lek;e35a2362-b98a-457e-b529-78707cc4cc1d;005
På hvilke to løpedistanser satte Ingrid Kristiansen verdensrekord på 1980-tallet?;5 000 meter og 10 000 meter;Sport;e35a2362-b98a-457e-b529-78707cc4cc1d;005
På hvilket europeisk språk heter en pølse 'korv'?;Svensk;Språk;e35a2362-b98a-457e-b529-78707cc4cc1d;005
Hva heter ifølge gresk mytologi den første kvinnen på jorden, som er kjent for en spesiell eske med dårlige egenskaper?;Pandora;Tradisjon_og_tro;e35a2362-b98a-457e-b529-78707cc4cc1d;005
I hvilket land foregår den norske utgaven av 'Paradise Hotel'?;Mexico;TV_og_serier;e35a2362-b98a-457e-b529-78707cc4cc1d;005
I hvilken bok av Ole Lund Kirkegaard får Topper plutselig et gigantisk, sultent dyr i hus?;Otto er et neshorn;Bøker;98d976d5-be81-4060-bab7-a0cfc36672e0;005
En sølvrygg er en eldre lederhann-ape med sølvgrå pels. I hvilken apeslekt?;Gorilla;Dyr;98d976d5-be81-4060-bab7-a0cfc36672e0;005
Hvilken sang fra filmen 'Frost' mottok i 2014 en Oscar for beste sang?;La den gå (Let It Go);Film;98d976d5-be81-4060-bab7-a0cfc36672e0;005
Hva heter de to høyeste fjellene i Norge?;Galdhøpiggen og Glittertind;Geografi;98d976d5-be81-4060-bab7-a0cfc36672e0;005
I hvilket tiår ble Hjelpestikkefondet opprettet, der 1 øre av hver solgte eske av Nitedals hjelpestikker gikk til dette fondet?;1920-tallet (1925);Historie;98d976d5-be81-4060-bab7-a0cfc36672e0;005
Hva er navnet på den sveitsiske lukkemekanismen fra 1941 som ofte brukes i stedet for skolisser på barnesko?;Velcro (kalles også borrelås);Hverdag;98d976d5-be81-4060-bab7-a0cfc36672e0;005
Hva heter den avlange steinfrukten som vokser på palmen på bildet Q?;Daddel;Mat_og_drikke;98d976d5-be81-4060-bab7-a0cfc36672e0;005
Julie Bergan toppet VG-lista i 2016 med en låt som også ble svært populær på appen musical.ly. Hva heter låten?;Arigato;Musikk;98d976d5-be81-4060-bab7-a0cfc36672e0;005
Fra hvilket land kommer firmaet Gazprom, som er en av verdens største produsenter av naturgass?;Russland;Natur_og_miljø;98d976d5-be81-4060-bab7-a0cfc36672e0;005
Hva het den sovjetiske romstasjonen som kretset rundt jorden fra 1986 og frem til den styrtet i Stillehavet i 2001?;Mir;Naturvitenskap;98d976d5-be81-4060-bab7-a0cfc36672e0;005
Hva heter den norske internettportalen for å levere elektroniske skjemaer til offentlige myndigheter?;Altinn;Samfunn;98d976d5-be81-4060-bab7-a0cfc36672e0;005
Hvilket selskap står bak spillserier som FIFA, The Sims og Need for Speed?;EA (Electronic Arts);Spill_og_lek;98d976d5-be81-4060-bab7-a0cfc36672e0;005
I hvilken øvelse satte den ukrainske friidrettsstjernen Sergej Bubka verdensrekord mer enn 30 ganger på 1980- og 1990-tallet?;Stavsprang;Sport;98d976d5-be81-4060-bab7-a0cfc36672e0;005
Hvilket ord, som opprinnelig er sammensatt av ordene klode og trave, brukes om person som reiser mye?;Globetrotter;Språk;98d976d5-be81-4060-bab7-a0cfc36672e0;005
Hvis man er kvinne og får en morgengave, hva var man da dagen før?;Brud;Tradisjon_og_tro;98d976d5-be81-4060-bab7-a0cfc36672e0;005
Hva heter det fiktive kontinentet hvor det meste av tv-serien 'Game of Thrones' foregår?;Westeros;TV_og_serier;98d976d5-be81-4060-bab7-a0cfc36672e0;005
