#separator:semicolon
#html:true
#columns:Question;Answer;Category;CardID;SourceFolder
Hva heter den første av L.M. Montgomerys bøker om Anne, som adopteres av søskenparet Marilla og Matthew?;Anne fra Bjørkely;Bøker;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
Hva heter rovdyret som vises på bilde I9, og som lever i Sør- og Mellom-Amerika?;Jaguar;Dyr;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
I hvilken animasjonsfilm fra 2004 blir gutten Chris hentet på julaften for å besøke Julenissen på Nordpolen?;Polarekspressen;Film;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
Hvilket populært klatremål i Romsdalen har Europas høyeste loddrette stup?;Trollveggen;Geografi;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
Hva slags bygning er den imponerende Sagrada Familia, som man kan besøke i Barcelona?;En kirke;Historie;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
Hvilket produkt forbindes med merkene Labello og EOS?;Leppepomade;Hverdag;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
Hva er hovedingrediensen i falafel?;Kikerter;Mat_og_drikke;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
Hvor mange eggeplommer er det i Bakermester Harepus sin peppekakeoppskrift ifølge 'Peppekakebakesangen'?;8;Musikk;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
Fra hvilket tre stammer bladet på bilde H3?;Eik;Natur_og_miljø;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
Hvilken legering får man hvis man blander 90 % kobber med 10 % tinn?;Bronse;Naturvitenskap;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
I hvilket land ble sjokoladedrikpulveret O'boy utviklet?;Sverige;Samfunn;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
I Xbox-spillet Castle Crashers kan man velge fire riddere. Den røde har makt over strøm, den blå over is, den grønne gift og den oransje styrer...?;Ild;Spill_og_lek;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
I hvilken idrett er det viktig å mestre baggerslag?;Volleyball;Sport;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
Hva er 'minuskler'?;Små bokstaver;Språk;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
Hvor gammel må man minst være for å få være fadder til et barn som skal døpes i Norge?;15 år;Tradisjon_og_tro;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
Hvilken tv-konkurranse er vunnet av bl.a. Thor Hushovd, Gro Hammerseng-Edin og Pål Anders Ullevålseter?;Mesternes Mester;TV_og_serier;977d1adf-49e6-40ea-90ad-19a9a07443c1;004
Hvilken rosa barnebokfigur har en stor familie med en svart kone og sju barn i forskjellige farger?;Barbapappa;Bøker;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Hvilke to dyr er barne-TV-figuren Fantorangen en blanding av?;Elefant og orangutang;Dyr;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Hva heter den rike damen som ønsker seg en pels laget av '101 dalmatinere' i filmen med samme navn?;Cruella de Vil;Film;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Hva heter det høyeste fjellet i Frankrike?;Mont Blanc;Geografi;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Hvilken militærallianse ble opprettet i 1955 av en rekke øst-europeiske land som et motstykke til Vestens NATO?;Warszawapakten;Historie;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Hvilken knute stammer fra vikingtiden og heter 'reef knot' på engelsk?;Båtmannsknop;Hverdag;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Hva slags syltetøy må være med i den østerrikske sjokoladekaken Sachertorte?;Aprikossyltetøy;Mat_og_drikke;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Hvilket uttrykk brukes for konkurranse innen norsk folkemusikk?;Kappleik;Musikk;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Hvilket annet navn enn virvelwind brukes om en liten tornado som også kan gjøre store skader?;Skypumpe;Natur_og_miljø;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Hva heter den svenske astronauten som i 2006 ble første skandinav i verdensrommet?;Christer Fuglesang (f. 1957);Naturvitenskap;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Hvilket jentenavn var på topp tre-listen over mest brukte navn til nyfødte norske barn hvert år fra 2003-20?;Emma;Samfunn;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Hvor mange spillere er det som regel på hver forsvarsstang når man spiller bordfobtall?;To;Spill_og_lek;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Hva kalles den store supporterforeningen til Vålerengens Idrettsforening?;Klanen;Sport;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Hva heter en hunnhund på engelsk?;Bitch;Språk;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Årets første helligdag er første nyttårsdag. Hvilken dag er årets andre helligdag hvis vi ser bort fra vanlige søndager?;Skjærtorsdag;Tradisjon_og_tro;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
BBC har laget en tv-serie som er basert på legenden om kong Arthur. Hva heter trollmannen som flytter til Camelot, hvor magi er forbudt?;Merlin;TV_og_serier;09f6a6d1-07e2-489b-a0a4-52c1a17f1b44;004
Hvem er det som henter den veldig nysgjerrige apen Nils fra Afrika og hjem til storbyen?;Mannen i den gule hatten;Bøker;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
Hva kalles jakten i Norge som omfatter jakt etter klovvilt som elg, hjort, villrein og rådyr?;Storviltjakt;Dyr;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
Hva heter filmen om de små rare huleboerne som den foreldreløse gutten Egg vokser opp hos, og som bare kommer opp om natten for å samle søppel?;Bokstrollene;Film;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
Hvilken av USAs stater har lengst grense mot Canada?;Alaska;Geografi;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
Hvilken kunstner står bak fontenene i Otterdalsparken i Kristiansand, som ble offisielt åpnet av kong Harald V i 1991?;Kjell Nupen (1955-2014);Historie;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
Hva heter operativsystemet som Google lanserte i 2008, og som brukes i mobiltelefoner verden over?;Android;Hverdag;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
Hvor mange lag med deig skal det være i en ekte wienerbröd-deig?;27;Mat_og_drikke;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
Hvilket klassisk verk fra 1725 heter 'Le Quattro Stagioni' på originalspråket?;De fire årstider;Musikk;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
Hva kalles planten på bilde Q9 som brukes til å lage matolje?;Raps;Natur_og_miljø;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
Hvilket etternavn hadde den polske astronomen som på 1500-tallet oppdaget at jorden beveger seg rundt solen - og ikke omvendt?;Kopernikus (Nicolaus, 1473-1543);Naturvitenskap;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
I hvilket tiår åpnet McDonald's sin første restaurant i Norge?;1980-tallet (1983);Samfunn;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
Hva heter Taitos dataspill fra 1986, hvor to drager må gjennom forskjellige baner, drepe fiender og samle ting?;Bubble Bobble;Spill_og_lek;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
I hvilken by kan man se fotball på det imponerende stadionet Allianz Arena, som har plass til mer enn 70.000 tilskuere?;München;Sport;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
Med hvilke to ord sier man 'jeg elsker deg' på italiensk?;Ti amo;Språk;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
På hvilken dag skapte Gud menneskene, ifølge den første skapelsesberetningen i Bibelen?;Den sjette dag;Tradisjon_og_tro;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
Hva er fornavnene til brødrene Ylvisåker, som bl.a. er kjent fra programmene 'I kveld med YLVIS' og 'Stories from Norway'?;Bård og Vegard;TV_og_serier;d79a57ed-5096-4ca4-975c-b9cc2370121e;004
Hva heter roman til Jens Bjørneboe fra 1955 som handler om en gutt som plasseres på hjelpeskolen 'Iddioten'?;Jonas;Bøker;eab70072-f29b-44e9-a9ac-950d50089bae;004
Hvilket norsk rovdyr har det latinske navn 'Lynx lynx'?;Gaupe;Dyr;eab70072-f29b-44e9-a9ac-950d50089bae;004
I hvilken klassisk Disney-film møter man Duchess, Thomas O'Malley og Scat Cat?;Aristokattene;Film;eab70072-f29b-44e9-a9ac-950d50089bae;004
Hva heter landet som er markert med grått på bilde 110?;Egypt;Geografi;eab70072-f29b-44e9-a9ac-950d50089bae;004
Hvilken oppdagelsesreisende seilte i 1271 ut for å utforske Kina, og vendte først tilbake 24 år senere?;Marco Polo (1254-1324);Historie;eab70072-f29b-44e9-a9ac-950d50089bae;004
Fra hvilket land kommer kleskjedene Gina Tricot og Monki?;Sverige;Hverdag;eab70072-f29b-44e9-a9ac-950d50089bae;004
Hva slags nøtt er det i Nutella?;Hasselnøtt;Mat_og_drikke;eab70072-f29b-44e9-a9ac-950d50089bae;004
Hva heter Edvard Griegs orkesterverk som bl.a. inneholder satsene 'Morgenstemning' og 'I Dovregubbens hall'?;Peer Gynt;Musikk;eab70072-f29b-44e9-a9ac-950d50089bae;004
Hva heter loven som gir alle lov til å bruke den norske naturen uavhengig av hvem som eier grunnen?;Allemannsretten;Natur_og_miljø;eab70072-f29b-44e9-a9ac-950d50089bae;004
Hvilket vitamin får man når solens stråler treffer huden?;D-vitamin;Naturvitenskap;eab70072-f29b-44e9-a9ac-950d50089bae;004
Hvilken butikkjede reklamerer med filosofien 'det enkle er ofte det beste'?;Rema 1000;Samfunn;eab70072-f29b-44e9-a9ac-950d50089bae;004
Hva kalles avataren som man kan lage av seg selv på Nintendos Wii-konsoller?;Mii;Spill_og_lek;eab70072-f29b-44e9-a9ac-950d50089bae;004
I hvilken amerikansk by er det mange som holder med det lokale basketball-laget Knicks?;New York City (New York Knicks);Sport;eab70072-f29b-44e9-a9ac-950d50089bae;004
Dette norske ordet stammer fra det tyske ordet for 'gjennomslag' og brukes om et kjøkkenredskap. Hvilket ord tenker vi på?;Dørslag (stammer fra 'Durchschlag');Språk;eab70072-f29b-44e9-a9ac-950d50089bae;004
Hva kalles en trestamme med utskårne og malte symboler som er kjent fra indianerstammer?;Totempæl;Tradisjon_og_tro;eab70072-f29b-44e9-a9ac-950d50089bae;004
I hvilken amerikansk tv-serie kan man møte Jay Pritchett og hans kone, barn, barnebarn, svigerbarn og stebarn?;Modern Family;TV_og_serier;eab70072-f29b-44e9-a9ac-950d50089bae;004
Hva er den norske tittelen på det første bindet i 'The Hunger Games'-trilogien, der Katniss Everdeen blir valgt ut til å kjempe for livet?;Dødslekene;Bøker;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
Hva heter fuglen med det latinske navnet 'Cuculus canorus' som ikke ruger på sine egne egg?;Gjøken;Dyr;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
Hvilken berømt filmregissør har både skrevet og regissert filmene 'Midnight in Paris' og 'Magic in the Moonlight'?;Woody Allen (f. 1935);Film;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
I hvilken by kan man besøke Den himmelske freds plass?;Beijing;Geografi;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
Hvem er den andre i arverekken til den norske tronen, etter Kronprins Haakon?;Prinsesse Ingrid Alexandra (f. 2004);Historie;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
Hva heter det store amerikanske selskapet som siden midt på 1900-tallet har laget svarte og gullfargede batterier?;Duracell;Hverdag;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
Hva heter frukten på bilde G3 som er en spesialitet i mange asiatiske land til tross for sin ubehagelige duft?;Durian;Mat_og_drikke;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
Hva heter vokalisten i det britiske rockebandet The Rolling Stones?;Mick Jagger (f. 1943);Musikk;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
Hva kalles de kraftige vindene som er vanlige i Sørøst-Asia, og som ofte utløser voldsomt regn?;Monsun;Natur_og_miljø;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
Hva er det mer vanlige ordet for 'komedoner', som kan ses som små sorte prikker på nesen?;Hudormer;Naturvitenskap;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
Hvilken bygning kan man se på bilde D18?;Oslo Børs;Samfunn;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
Hva heter spillet der man skal samle opp en haug tynne trepinner en etter en uten at de andre pinnene beveger seg?;Mikado;Spill_og_lek;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
Hva heter skirennet for funksjonshemmede som arrangeres på Beitostølen hver vår?;Ridderrennet;Sport;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
Hvor mange vokaler er det i det engelske alfabetet?;6 (A, E, I, O, U, Y);Språk;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
På hvilken dato feirer man halloween med grøss, gresskar og godteri?;31. oktober;Tradisjon_og_tro;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
Hvilken videregående skole er sentral i tv-serien 'SKAM'?;Hartvig Nissen;TV_og_serier;db40e937-ef24-4f0e-aac9-6e6b0d426cf3;004
