#separator:semicolon
#html:true
#columns:Question;Answer;Category;CardID;SourceFolder
Hva heter lettlest-serien til forlaget Cappelen Damm?;Leselove;Bøker;98eef1e5-13b1-4d16-8794-91475359cb2c;006
Hvilket dyr finnes i rasene 'russian blue', 'abyssinier' og 'burmeser'?;Katt;Dyr;98eef1e5-13b1-4d16-8794-91475359cb2c;006
I hvilken romantisk film møtes Frances 'Baby' Houseman og Johnny Castle på Kellerman's hotel en magisk sommer i 1963?;Dirty Dancing;Film;98eef1e5-13b1-4d16-8794-91475359cb2c;006
Hvilket land er mindre enn Kina og større enn Australia og er dermed verdens femte største land?;Brasil;Geografi;98eef1e5-13b1-4d16-8794-91475359cb2c;006
Fra hvilket land kom maleren Frida Kahlo, som er kjent for sine fargerike selvportretter?;Mexico;Historie;98eef1e5-13b1-4d16-8794-91475359cb2c;006
Hva slags type klesplagg er en fez?;Hatt;Hverdag;98eef1e5-13b1-4d16-8794-91475359cb2c;006
Hvilken middagsrett ble i 2014 kåret til Norges nasjonalrett, for andre gang?;Fårikål;Mat_og_drikke;98eef1e5-13b1-4d16-8794-91475359cb2c;006
Hvilken elektronikaduo består av Svein Berge og Torbjørn Brundtland?;Røyksopp;Musikk;98eef1e5-13b1-4d16-8794-91475359cb2c;006
Hva kalles et fruktbart område i en ørken, der det er vann og ofte vokser palmer?;Oase;Natur_og_miljø;98eef1e5-13b1-4d16-8794-91475359cb2c;006
Hvilken populær norsk betegnelse bruker man om antidepressiva som f.eks. Zoloft og Fontex?;Lykkepiller;Naturvitenskap;98eef1e5-13b1-4d16-8794-91475359cb2c;006
Hvilken dato er Arbeidernes Internasjonale Kampdag?;1. mai;Samfunn;98eef1e5-13b1-4d16-8794-91475359cb2c;006
Hvilken type brikker brukes til å lage togskinner i brettspillet 'Mexican Train'?;Dominobrikker;Spill_og_lek;98eef1e5-13b1-4d16-8794-91475359cb2c;006
Hva er det fulle navnet til den norske hockeystjernen 'Zucca'?;Mats Zuccarello Aasen (f. 1987);Sport;98eef1e5-13b1-4d16-8794-91475359cb2c;006
Fra hvilket språk har nordmenn lånt ordene 'avis', 'pinsett' og 'kotelett'?;Fransk;Språk;98eef1e5-13b1-4d16-8794-91475359cb2c;006
Hvilken merkedag blir markert over hele verden den 8. mars?;Kvinnedagen (Den internasjonale kvinnedagen);Tradisjon_og_tro;98eef1e5-13b1-4d16-8794-91475359cb2c;006
Hva slags dyr er Svampebob Firkants litt tomsete bestevenn, Patrick?;Sjøstjerne;TV_og_serier;98eef1e5-13b1-4d16-8794-91475359cb2c;006
I Asbjørnsen og Moe-eventyret gir den tunghørte fergemannen et underlig svar når lensmannen sier 'God dag, mann!'. Hva svarer fergemannen?;Økseskaft;Bøker;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
Hvilken dyreklasse heter 'Reptilia' på latin?;Krypdyr (reptiler);Dyr;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
I hvilken filmserie spiller Ben Stiller rollen som museumsvakten Larry, som bl.a. vekker til live historiske personer?;Natt på museet;Film;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
Java er med mer enn 100 mill. innbyggere den mest befolkede øya i verden. Hvilket land hører den til?;Indonesia;Geografi;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
I hvilken verdensdel reiste den skotske oppdagelsesreisende David Livingstone rundt på 1800-tallet?;Afrika;Historie;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
Hvor mange volt er spenningen i en vanlig norsk stikkontakt?;230 volt;Hverdag;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
Hvilken grønnsak er sammen med poteter hovedingrediensen i den franske suppen 'crème vichyssoise'?;Purre;Mat_og_drikke;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
Hvilket engelsk uttrykk brukes om kunsten å skape rytmer, lydeffekter og musikk ved å bare bruke munnen og resten av kroppen?;Beatboxing;Musikk;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
Hva kalles en isbre som dekker et kontinent?;Innlandsis;Natur_og_miljø;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
Hvilket vitamin mangler man hvis man lider av sykdommen skjørbuk, som mange sjømenn døde av i gamle dager?;C-vitamin;Naturvitenskap;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
Hva heter politikeren som i 2017 ble Frankrikes president?;Emmanuel Macron (f. 1977);Samfunn;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
Fra hvilket land stammer spillet Mahjong, som spilles med enten 136 eller 144 brikker?;Kina;Spill_og_lek;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
Hvilken idrett var på programmet til de olympiske leker i 1900 og 1904, og ble en olympisk øvelse igjen i 2016?;Golf;Sport;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
Hva gjør en danske når han 'griner'?;Ler;Språk;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
Hva heter festen som avslutter muslimenes fastemåned, ramadan?;Eid (Id);Tradisjon_og_tro;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
Hva heter den amerikanske tv-serien fra 2010 hvor politimannen Rick Grimes kjemper mot en verden som er overtatt av zombier?;The Walking Dead;TV_og_serier;b6448a8b-3775-4beb-9989-0e7ff3ee9f5e;006
Hvem er det som opplever musetrøbbel, frisørkroll og sydenssurr i Arne Svingens bøker?;Hubert;Bøker;60f5df77-1d5a-451f-9bfb-700d83bc12f0;006
Hvilken vennligsinnet hai er den største nålevende fisken?;Hvalhai;Dyr;60f5df77-1d5a-451f-9bfb-700d83bc12f0;006
